Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
competicao	competition	 0.80	 0.80	 0.80	 0.40	 0.75	 0.70	 0.70	 0.75	
memoria 	memory  	 0.71	 0.71	 0.71	 0.43	 0.67	 0.57	 0.54	 0.60	
linha   	line    	 0.60	 0.60	 0.40	 0.40	 0.57	 0.33	 0.46	 0.48	
local   	local   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
historia	history 	 0.75	 0.75	 0.75	 0.50	 0.70	 0.67	 0.70	 0.71	
milhao  	million 	 0.67	 0.67	 0.67	 0.50	 0.62	 0.33	 0.40	 0.66	
ideia   	idea    	 0.60	 0.60	 0.60	 0.60	 0.82	 0.67	 0.58	 0.73	
material	material	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
hora    	hour    	 0.50	 0.50	 0.50	 0.50	 0.62	 0.50	 0.45	 0.62	
hotel   	hotel   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
maneira 	manner  	 0.57	 0.57	 0.71	 0.43	 0.64	 0.47	 0.52	 0.72	
hospital	hospital	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
gas     	gas     	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
independencia	independence	 0.85	 0.69	 0.69	 0.38	 0.80	 0.77	 0.66	 0.70	
metal   	metal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
ideal   	ideal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
motor   	motor   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
