Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
idea    	idea    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
material	material	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
hour    	hora    	 0.50	 0.50	 0.50	 0.50	 0.62	 0.50	 0.45	 0.62	
hotel   	hotel   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
manner  	manera  	 0.50	 0.67	 0.83	 0.50	 0.68	 0.88	 0.84	 0.88	
hospital	hospital	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
gas     	gas     	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
independence	independencia	 0.92	 0.75	 0.75	 0.42	 0.86	 0.95	 0.74	 0.93	
metal   	metal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
ideal   	ideal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
motor   	motor   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
minute  	minuto  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.75	 0.79	 0.71	
intelligence	inteligencia	 0.42	 0.42	 0.42	 0.25	 0.69	 0.87	 0.82	 0.92	
identification	indentificacion	 0.07	 0.29	 0.29	 0.36	 0.80	 0.84	 0.84	 0.92	
magic   	magico  	 1.00	 1.00	 1.00	 0.60	 0.86	 1.00	 1.00	 1.00	
lesson  	leccion 	 0.33	 0.50	 0.50	 0.67	 0.68	 0.25	 0.35	 0.69	
mate    	mate    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
inspection	inspeccion	 0.90	 0.80	 0.80	 0.80	 0.92	 0.74	 0.79	 0.86	
lemon   	limon   	 0.80	 0.80	 0.80	 0.80	 0.86	 0.56	 0.54	 0.54	
horror  	horror  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.55	 1.00	
invasion	invasion	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
map     	mapa    	 1.00	 1.00	 1.00	 0.67	 0.80	 1.00	 1.05	 1.00	
mania   	mania   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
manual  	manual  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
menu    	menu    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
