Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
information	informacao	 0.73	 0.64	 0.64	 0.36	 0.69	 0.64	 0.61	 0.69	
moment  	momento 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 0.87	 1.00	
list    	lista   	 1.00	 1.00	 1.00	 0.50	 0.83	 1.00	 1.00	 1.00	
mortal  	mortal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
exams   	exames  	 0.80	 1.00	 1.00	 0.80	 0.96	 0.89	 0.87	 0.89	
computer	computador	 0.75	 0.75	 0.75	 0.62	 0.83	 0.67	 0.70	 0.80	
apartment	apartamento	 0.56	 0.78	 0.78	 0.44	 0.81	 0.90	 0.85	 0.98	
animals 	animais 	 0.86	 0.71	 0.57	 0.86	 0.89	 0.73	 0.74	 0.86	
movements	movimentos	 0.78	 0.89	 0.89	 0.44	 0.88	 0.78	 0.69	 0.90	
metabolism	metabolismo	 1.00	 1.00	 1.00	 0.40	 0.92	 1.00	 1.00	 1.00	
equipment	equipamento	 0.56	 0.89	 0.89	 0.44	 0.81	 0.86	 0.91	 0.98	
department	departamento	 0.60	 0.80	 0.80	 0.40	 0.83	 0.92	 0.94	 0.99	
crocodile	crocodilo	 0.89	 0.89	 0.89	 0.89	 0.82	 0.83	 0.76	 0.82	
calendar	calendario	 1.00	 1.00	 1.00	 0.50	 0.90	 1.00	 1.00	 1.00	
auditorium	auditorio	 0.80	 0.80	 0.50	 0.40	 0.75	 0.75	 0.77	 0.75	
activities	atividades	 0.30	 0.50	 0.50	 0.30	 0.68	 0.44	 0.39	 0.68	
access  	acesso  	 0.50	 0.67	 0.83	 0.50	 0.72	 0.86	 0.67	 0.81	
academic	academico	 1.00	 1.00	 1.00	 0.50	 0.90	 1.00	 0.91	 1.00	
electricity	eletricidade	 0.27	 0.36	 0.36	 0.45	 0.55	 0.64	 0.48	 0.73	
effects 	efeito  	 0.29	 0.43	 0.43	 0.43	 0.53	 0.42	 0.22	 0.50	
dissertation	dissertacao	 0.75	 0.67	 0.67	 0.33	 0.71	 0.62	 0.51	 0.75	
dictionary	dicionario	 0.30	 0.60	 0.70	 0.30	 0.68	 0.62	 0.69	 0.70	
competition	competicao	 0.73	 0.73	 0.73	 0.36	 0.69	 0.70	 0.60	 0.78	
memory  	memoria 	 0.83	 0.83	 0.83	 0.50	 0.75	 0.73	 0.66	 0.70	
line    	linha   	 0.75	 0.75	 0.50	 0.50	 0.67	 0.50	 0.63	 0.59	
local   	local   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
history 	historia	 0.86	 0.86	 0.86	 0.57	 0.78	 0.80	 0.83	 0.75	
million 	milhao  	 0.57	 0.57	 0.57	 0.43	 0.56	 0.36	 0.24	 0.59	
idea    	ideia   	 0.75	 0.75	 0.75	 0.75	 0.95	 1.00	 0.87	 0.86	
material	material	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
hour    	hora    	 0.50	 0.50	 0.50	 0.50	 0.62	 0.50	 0.45	 0.62	
hotel   	hotel   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
manner  	maneira 	 0.67	 0.67	 0.83	 0.50	 0.72	 0.88	 0.72	 0.95	
hospital	hospital	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
gas     	gas     	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
