English	Part_of_speech	Cognate Eng-Port	Cognate_Eng-Span	Cognate_Port-Spanish	False_Cognate_En-PT	False_Cognate_En-Spanish	False_cognate Port-Span	Similar_word_in_Portuguese	Similar_word_in_Spanish	Translation_in_Portuguese	Translation_in_Spanish	Comments
park	noun	yes	yes	yes	no	no	no	parque	parque	parque	parque	
universe	noun	yes	yes	yes	no	no	no	universo	universo	universo	universo	
independence	noun	yes	yes	yes	no	no	no	independência	independencia	independência	independencia	
metal	noun	yes	yes	yes	no	no	no	metal	metal	metal	metal	
ideal	noun/adjective	yes	yes	yes	no	no	no	ideal	ideal	ideal	ideal	
motor	noun	yes	yes	yes	no	no	no	motor	motor	motor	motor	
minute	noun	yes	yes	yes	no	no	no	minuto	minuto	minuto	minuto	
intelligence	noun	yes	yes	yes	no	no	no	inteligência	inteligencia	inteligência	inteligencia	
identification	noun	yes	yes	yes	no	no	no	identificação	identificación	identificação	identicación	
restaurant	noun	yes	yes	yes	no	no	no	restaurante	restaurante	restaurante	restaurante	
piano	noun	yes	yes	yes	no	no	no	piano	piano	piano	piano	
magic	noun	yes	yes	yes	no	no	no	mágico	mágico	mágico	mágico	
error	noun	yes	yes	yes	no	no	no	erro	error	erro	error	
fruit	noun	yes	yes	yes	no	no	no	fruta	fruta	fruta	fruta	
lesson	noun	yes	yes	yes	no	no	no	lição	lección	lição	lección	
mate	noun	no	no	no	yes	yes	yes	mate	mate	companheiro	compañero	
inspection	noun	yes	yes	yes	no	no	no	inspeção	inspección	inspeção	inspección	
lemon	noun	yes	yes	yes	no	no	no	limão	limón	limão	limón	
horror	noun	yes	yes	yes	no	no	no	horror	horror	horror	horror	
invasion	noun	yes	yes	yes	no	no	no	invasão	invasión	invasão	invasión	
tourist	noun	yes	yes	yes	no	no	no	turista	turista	turista	turista	
map	noun	yes	yes	yes	no	no	no	mapa	mapa	mapa	mapa	
inspector	noun	yes	yes	yes	no	no	no	inspetor	inspector	inspetor	inspector	
mania	noun	yes	yes	yes	no	no	no	mania 	manía	mania	manía	
manual	noun	yes	yes	yes	no	no	no	manual	manual	manual	manual	
menu	noun/adjective	no	yes	no	yes	no	no	menu	menú	cardápio	menú	
expulsion	noun	yes	yes	yes	no	no	no	expulsão	expulsión	expulsão	expulsión	
maestro	noun	no	no	yes	no	no	yes	maestro	maestro	maestro	conductor	
patio	noun	yes	yes	yes	no	no	no	pátio	patio	pátio	patio	
helicopter	noun	yes	yes	yes	no	no	no	helicóptero	helicóptero	helicóptero	helicóptero	
melon	noun	yes	yes	yes	no	no	no	melão	melón	melão	melón	
accident	noun	yes	yes	yes	no	no	no	acidente	accidente	acidente	accidente	
adult	noun/adjective	yes	yes	yes	no	no	no	adulto	adulto	adulto	adulto	
society	noun	yes	yes	yes	no	no	no	sociedade	sociedad	sociedade	sociedad	
control	noun/verb	yes	yes	yes	no	no	no	controle	control	controle	control	
cores	noun	no	no	no	yes	no	no	cores	colores	núcleos	núcleos	
dent	noun/verb	no	no	no	yes	yes	no	dente	diente	mossa	abolladura	
assume	verb	no	no	yes	yes	yes	no	assumir	asumir	supor	suponer	but it is a true cognate in the sense of assume a role/office
pull	verb	no	no	no	yes	yes	no	pular	pull	puxar	tirar	pull in spanish is a sweater
collar	noun	no	no	yes	yes	no	no	collar	collar	gola	collar	but there are also true cognates colarinho and coleira in PT
army	noun	no	no	yes	yes	yes	no	arma	arma	exército	ejército	
eventually	noun	no	no	yes	yes	yes	no	eventualmente	eventualmente	finalmente	finalmente	
large	noun	no	no	yes	yes	yes	no	largo	largo	grande	grande	
rim	noun	no	no	no	yes	no	no	rim	rima	beira	borde	
resume	verb	no	no	yes	yes	yes	no	resumir	resumir	retomar	continuar	
sensual	adjective	yes	yes	yes	no	no	no	sensual	sensual	sensual	sensual	
amass	verb	no	no	yes	yes	yes	no	amassar	amasar	acumular	acumular	spanish amasar can also be a true cognate
pretend	verb	no	no	yes	yes	yes	no	pretender	pretender	fingir	fingir	
support	verb	yes	no	yes	yes	yes	no	suporte	soporte	apoiar	apoyar	
record	verb	no	no	yes	yes	yes	no	recorde 	récord	registrar	registrar	
assist	verb	no	no	yes	yes	yes	no	assistir	asistir	ajudar	ayudar	
resume	verb	no	no	no	yes	yes	no	resumo	resumen	retomar	reanudar	
parents	noun	no	yes	yes	yes	no	no	parente	pariente	pais	los padres	
legend	adjective	no	yes	no	yes	no	yes	legenda	leyenda	lenda	leyenda	
mayor	noun	no	no	no	yes	yes	no	maior	mayor	prefeito	alcalde	
library	noun	no	no	yes	yes	yes	no	livraria	librería	biblioteca	biblioteca	
comment	verb	yes	yes	yes	no	no	no	comentar	comentar	comentar 	comentar	
complete	adjective	yes	yes	yes	no	no	no	completo	completo	completo	completo	
diversion	noun	no	no	no	yes	yes	yes	diversão	diversión	desvio	desviación 	
imagine	verb	yes	yes	yes	no	no	no	imaginar	imaginar	imaginar	imaginar	
consult	verb	yes	yes	yes	no	no	no	consulta	consulta	consultar	consultar	
amplify	verb	yes	yes	yes	no	no	no	amplificar	amplificar	amplificar	amplificar	
simplify	verb	yes	yes	yes	no	no	no	simplificar	simplificar	simplificar 	simplificar	
celebrate	verb	yes	yes	yes	no	no	no	celebrar	celebrar	celebrar	celebrar	
problem	noun	yes	yes	yes	no	no	no	problema	problema	problema	problema	
divert	verb	no	no	yes	yes	yes	no	divertir	divertir	desviar	desviar	
possible	adjective	yes	yes	yes	no	no	no	possível	posible	possível	posible	
dependable	adjective	no	no	yes	yes	yes	no	dependente	dependiente	confiável	confiable	
curse	noun	no	no	yes	yes	yes	no	curso	curso	maldição 	maldición 	
